-0.041878,0.028690,0.025163
-0.027141,-0.035043,0.030731
-0.029621,-0.005885,0.022171
-0.054125,0.028547,0.055207
-0.027481,-0.024012,0.026322
-0.021134,0.019546,0.043089
-0.028400,0.020450,0.028288
-0.023656,-0.004054,0.045642
-0.028569,-0.005879,0.022840
-0.028500,0.005871,0.023044
-0.027995,-0.011620,0.023285
-0.029110,0.019703,0.038697
-0.031129,0.019527,0.047176
-0.021720,-0.024237,0.057931
-0.029005,0.023363,0.023765
-0.028101,-0.014835,0.023017
-0.028724,-0.023639,0.022500
-0.029412,-0.006992,0.022289
-0.030966,-0.005166,0.021410
-0.057425,0.006296,0.099523
-0.018582,0.019306,0.045765
-0.011299,0.019670,0.017018
-0.027833,-0.029755,0.030962
-0.019503,-0.041468,0.038572
-0.028458,-0.006814,0.022898
-0.027817,-0.005437,0.027031
-0.030196,0.014567,0.022082
-0.032170,0.005436,0.021335
-0.029146,0.006671,0.022643
-0.028196,-0.019396,0.022894
-0.027965,-0.006419,0.023472
-0.030679,-0.014130,0.021385
-0.033990,0.000656,0.020966
-0.027509,-0.018344,0.024202
-0.074171,0.005297,0.112049
-0.024223,-0.028281,0.035417
-0.016865,0.019398,0.019269
-0.028028,0.008852,0.023658
-0.021267,-0.018876,0.037222
-0.027473,0.007551,0.024957
-0.036013,0.016278,0.021351
-0.023352,-0.014797,0.036062
-0.009949,-0.032718,0.031386
-0.034263,-0.000517,0.020905
-0.025974,0.019556,0.040961
-0.092973,0.028327,0.101643
-0.029727,0.019550,0.042356
-0.028006,-0.021395,0.023043
-0.027976,-0.016288,0.023228
-0.028017,-0.006385,0.023348
-0.011413,0.019650,0.021175
-0.028075,-0.022594,0.022928
-0.029374,-0.017701,0.022167
-0.011859,-0.029546,0.026097
-0.028962,0.014725,0.022870
-0.033004,0.000154,0.021128
-0.024263,0.004990,0.057201
-0.032368,0.023651,0.023312
-0.021128,-0.006063,0.057820
-0.029607,0.019483,0.022524
-0.027574,0.004117,0.024640
-0.031550,-0.004801,0.021315
-0.027071,0.019543,0.043849
-0.031397,-0.004174,0.034525
-0.023992,0.020213,0.017728
-0.027628,-0.014678,0.023976
-0.023212,0.015647,0.045703
-0.033179,0.007930,0.021193
-0.028469,-0.027354,0.030810
-0.019785,-0.013096,0.058145
